State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,8.549718290119129,3.6,11.5
Bayern,7.976924061433448,-3.8,10.5
Berlin,9.17289088863892,8.8,9.5
Brandenburg,8.83709103237837,7.9,9.3
Bremen,8.81304347826087,8.6,8.9
Hamburg,8.808409986859395,8.2,9.3
Hessen,8.544179303132577,5.2,10.8
Mecklenburg-Vorpommern,8.169315499606611,7.3,8.7
Niedersachsen,8.64570296027663,4.0,9.4
Nordrhein-Westfalen,9.089649518343922,5.2,11.0
Rheinland-Pfalz,8.947864150943397,6.3,11.0
Saarland,9.277653846153846,7.1,10.6
Sachsen-Anhalt,8.758786113134256,3.6,9.4
Sachsen,8.272947679509631,3.6,9.6
Schleswig-Holstein,8.17901494699414,7.6,8.8
Thüringen,7.787466257668712,4.6,9.4
