State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,7.864156972669937,3.0,10.6
DEBY,7.349516496018202,-4.1,9.3
DEBE,8.729583802024747,8.3,9.4
DEBB,8.253283607391083,7.3,8.8
DEHB,8.37123745819398,8.2,8.4
DEHH,8.436005256241788,7.8,9.0
DEHE,7.940652184246804,4.4,10.4
DEMV,7.749973773931288,6.8,8.2
DENI,8.243046301762671,3.2,9.3
DENW,8.612066289930606,4.4,10.5
DERP,8.291361006289307,5.5,10.3
DESL,8.625153846153845,6.4,10.2
DEST,8.20897305171158,2.7,9.7
DESN,7.770742119089317,3.1,9.4
DESH,7.780489892671364,7.1,8.4
DETH,7.289539877300614,3.8,9.2
